Odległość (m),Wysokość (m)
0,166.7
50.0,166.1
100.0,164.9
150.0,164.7
200.0,163.0
250.0,163.1
300.0,163.5
350.0,163.6
400.0,164.3
450.0,164.5
500.0,164.7
550.0,165.5
600.0,166.0
650.0,165.9
700.0,167.0
750.0,165.5
800.0,166.1
850.0,166.2
900.0,165.7
950.0,166.8
1000.0,167.4
1050.0,168.2
1100.0,169.0
1150.0,169.1
1200.0,169.4
1250.0,169.5
1300.0,168.8
1350.0,168.6
1400.0,168.6
1450.0,167.7
1500.0,168.5
1550.0,168.5
1600.0,169.5
1650.0,167.2
1700.0,166.8
1750.0,166.4
1800.0,164.4
1850.0,163.8
1900.0,163.2
1950.0,163.5
2000.0,163.9
2050.0,164.3
2100.0,166.2
2150.0,160.6
2200.0,168.8
2250.0,162.4
2300.0,164.5
2350.0,160.3
2400.0,158.5
2450.0,158.2
2500.0,158.7
2550.0,159.9
2600.0,160.8
2650.0,160.7
2700.0,160.5
2750.0,165.0
2800.0,166.5
2850.0,168.5
2900.0,170.2
2950.0,171.3
3000.0,172.2
3050.0,171.8
3100.0,172.4
3150.0,171.6
3200.0,171.8
3250.0,172.1
3300.0,172.0
3350.0,171.4
3400.0,171.8
3450.0,171.9
3500.0,172.1
3550.0,172.2
3600.0,171.6
3650.0,172.0
3700.0,171.3
3750.0,170.9
3800.0,170.5
3850.0,169.8
3900.0,169.4
3950.0,169.2
4000.0,169.0
4050.0,168.8
4100.0,168.6
4150.0,168.8
4200.0,169.4
4250.0,169.7
4300.0,169.4
4350.0,168.6
4400.0,168.3
4450.0,169.4
4500.0,168.3
4550.0,166.9
4600.0,167.2
4650.0,167.8
4700.0,168.1
4750.0,168.5
4800.0,168.2
4850.0,168.2
4900.0,167.2
4950.0,166.8
5000.0,166.4
5050.0,166.0
5100.0,165.8
5150.0,166.1
5200.0,167.3
5250.0,166.2
5300.0,166.0
5350.0,166.2
5400.0,166.5
5450.0,165.1
5500.0,164.3
5550.0,163.7
5600.0,163.3
5650.0,163.7
5700.0,165.0
5750.0,165.7
5800.0,166.1
5850.0,166.2
5900.0,166.6
5950.0,165.1
6000.0,165.6
6050.0,165.6
6100.0,164.9
6150.0,165.0
6200.0,165.1
6250.0,166.5
6300.0,167.2
6350.0,166.0
6400.0,165.5
6450.0,164.9
6500.0,165.9
6550.0,166.3
6600.0,166.7
6650.0,167.3
6700.0,166.6
6750.0,166.1
6800.0,165.4
6850.0,164.8
6900.0,164.3
6950.0,163.8
7000.0,163.5
7050.0,163.4
7100.0,163.6
7150.0,164.0
7200.0,164.0
7250.0,164.8
7300.0,165.9
7350.0,167.2
7400.0,168.2
7450.0,168.3
7500.0,169.6
7550.0,169.3
7600.0,168.8
7650.0,168.7
7700.0,167.9
7750.0,167.2
7800.0,166.5
7850.0,165.4
7900.0,165.7
7950.0,163.7
8000.0,163.2
8050.0,163.1
8100.0,162.5
8150.0,162.0
8200.0,161.3
8250.0,160.9
8300.0,160.5
8350.0,159.1
8400.0,154.3
8450.0,153.8
8500.0,153.5
8550.0,153.6
8600.0,155.2
8650.0,161.8
8700.0,162.2
8750.0,161.5
8800.0,160.5
8850.0,161.0
8900.0,160.7
8950.0,160.7
9000.0,161.0
9050.0,160.8
9100.0,159.8
9150.0,157.5
9200.0,158.1
9250.0,159.3
9300.0,160.0
9350.0,160.7
9400.0,160.6
9450.0,161.3
9500.0,161.2
9550.0,160.9
9600.0,160.7
9650.0,160.4
9700.0,159.7
9750.0,158.5
9800.0,158.2
9850.0,157.6
9900.0,157.1
9950.0,156.3
10000.0,157.0
10050.0,156.5
10100.0,156.5
10150.0,156.4
10200.0,155.4
10250.0,155.4
10300.0,155.9
10350.0,155.7
10400.0,155.9
10450.0,155.6
10500.0,155.7
10550.0,156.3
10600.0,156.2
10650.0,155.9
10700.0,155.1
10750.0,154.7
10800.0,153.9
10850.0,153.9
10900.0,154.4
10950.0,154.0
11000.0,153.6
11050.0,153.7
11100.0,153.6
11150.0,153.7
11200.0,152.9
11250.0,152.0
11300.0,150.2
11350.0,149.7
11400.0,147.6
11450.0,148.6
11500.0,148.5
11550.0,149.8
11600.0,150.2
11650.0,149.6
11700.0,149.8
11750.0,149.9
11800.0,149.5
11850.0,149.5
11900.0,149.4
11950.0,149.7
12000.0,149.6
12050.0,150.1
12100.0,150.4
12150.0,150.7
12200.0,150.7
12250.0,150.2
12300.0,149.6
12350.0,147.5
12400.0,145.1
12450.0,142.3
12500.0,144.0
12550.0,142.1
12600.0,142.0
12650.0,139.2
12700.0,140.0
12750.0,145.2
12800.0,150.3
12850.0,151.0
12900.0,151.5
12950.0,151.5
13000.0,151.2
13050.0,151.2
13100.0,151.2
13150.0,151.1
13200.0,150.5
13250.0,150.7
13300.0,150.4
13350.0,150.0
13400.0,150.2
13450.0,150.7
13500.0,150.6
13550.0,150.7
13600.0,150.0
13650.0,150.7
13700.0,151.5
13750.0,151.4
13800.0,151.2
13850.0,150.0
13900.0,148.9
13950.0,148.7
