Odległość (m),Wysokość (m),x,y
0,258.6,333315,320446
50.0,258.6,333269,320427
100.0,258.5,333222,320408
150.0,258.5,333176,320389
200.0,258.8,333130,320370
250.0,258.5,333084,320351
300.0,258.8,333037,320332
350.0,259.4,332991,320314
400.0,260.4,332945,320295
450.0,260.5,332898,320276
500.0,261.6,332852,320257
550.0,261.8,332806,320238
600.0,262.0,332760,320219
650.0,261.7,332713,320200
700.0,262.4,332667,320181
750.0,262.5,332621,320162
800.0,261.8,332574,320143
850.0,263.0,332528,320124
900.0,263.4,332482,320106
950.0,263.6,332436,320087
1000.0,264.2,332389,320068
1050.0,264.0,332343,320049
1100.0,264.2,332297,320030
1150.0,264.7,332250,320011
1200.0,265.3,332204,319992
1250.0,265.2,332158,319973
1300.0,266.3,332112,319954
1350.0,267.4,332065,319935
1400.0,268.1,332019,319916
1450.0,268.7,331973,319897
1500.0,269.0,331926,319879
1550.0,269.3,331880,319860
1600.0,269.4,331834,319841
1650.0,269.7,331788,319822
1700.0,270.2,331741,319803
1750.0,270.7,331695,319784
1800.0,270.8,331649,319765
1850.0,271.6,331602,319746
1900.0,272.2,331556,319727
1950.0,272.2,331510,319708
2000.0,272.6,331464,319689
2050.0,273.0,331417,319670
2100.0,273.6,331371,319652
2150.0,274.0,331325,319633
2200.0,274.5,331278,319614
2250.0,275.0,331232,319595
2300.0,276.0,331186,319576
2350.0,276.8,331140,319557
2400.0,278.0,331093,319538
2450.0,277.9,331047,319519
2500.0,278.6,331001,319500
2550.0,279.1,330954,319481
2600.0,279.7,330908,319462
2650.0,280.4,330862,319443
2700.0,281.0,330816,319425
2750.0,281.4,330769,319406
2800.0,281.7,330723,319387
2850.0,281.9,330677,319368
2900.0,282.3,330630,319349
2950.0,282.5,330584,319330
3000.0,283.0,330538,319311
3050.0,283.7,330492,319292
3100.0,284.3,330445,319273
3150.0,285.1,330399,319254
3200.0,285.8,330353,319235
3250.0,286.5,330306,319216
3300.0,286.8,330260,319198
3350.0,287.0,330214,319179
3400.0,287.4,330168,319160
3450.0,287.7,330121,319141
3500.0,288.2,330075,319122
3550.0,289.2,330029,319103
3600.0,290.2,329983,319084
3650.0,291.6,329936,319065
3700.0,291.7,329890,319046
3750.0,292.3,329844,319027
3800.0,292.7,329797,319008
3850.0,293.8,329751,318989
3900.0,294.8,329705,318971
3950.0,295.3,329659,318952
4000.0,296.1,329612,318933
4050.0,296.7,329566,318914
4100.0,297.5,329520,318895
4150.0,298.3,329473,318876
