Odległość (m),Wysokość (m),x,y
0,208.8,434505,713142
50.0,207.6,434553,713129
100.0,202.8,434601,713115
150.0,201.5,434649,713102
200.0,197.2,434698,713089
250.0,180.5,434746,713076
300.0,171.3,434794,713063
350.0,171.5,434842,713050
400.0,175.7,434891,713037
450.0,183.7,434939,713023
500.0,180.4,434987,713010
550.0,187.4,435035,712997
600.0,193.4,435084,712984
650.0,197.2,435132,712971
700.0,185.9,435180,712958
750.0,189.4,435228,712944
800.0,179.3,435277,712931
850.0,183.2,435325,712918
900.0,186.4,435373,712905
950.0,184.0,435421,712892
1000.0,179.8,435469,712879
1050.0,170.0,435518,712865
1100.0,163.2,435566,712852
1150.0,161.8,435614,712839
1200.0,161.7,435662,712826
1250.0,161.7,435711,712813
1300.0,161.8,435758,712796
1350.0,162.8,435802,712774
1400.0,165.3,435847,712752
1450.0,171.4,435892,712729
1500.0,175.2,435936,712707
1550.0,175.8,435981,712684
1600.0,169.7,436026,712662
1650.0,161.8,436071,712640
1700.0,162.0,436115,712617
1750.0,162.2,436160,712595
1800.0,162.3,436205,712573
1850.0,161.9,436250,712550
1900.0,161.9,436294,712528
1950.0,161.9,436339,712506
2000.0,161.9,436384,712483
2050.0,161.9,436428,712461
2100.0,161.9,436473,712439
2150.0,161.9,436518,712416
2200.0,161.9,436563,712394
2250.0,162.3,436607,712371
2300.0,162.8,436652,712349
2350.0,162.4,436697,712327
2400.0,162.0,436741,712304
2450.0,173.3,436786,712282
2500.0,186.7,436831,712260
2550.0,189.6,436876,712237
2600.0,192.2,436920,712215
2650.0,193.7,436964,712191
2700.0,191.8,437007,712166
2750.0,191.1,437050,712140
2800.0,191.2,437093,712115
2850.0,190.2,437137,712089
2900.0,187.2,437180,712064
2950.0,188.6,437223,712039
3000.0,184.2,437266,712013
3050.0,184.3,437309,711988
3100.0,184.3,437352,711963
3150.0,184.3,437395,711937
3200.0,188.6,437438,711912
3250.0,188.1,437481,711887
3300.0,190.6,437524,711861
3350.0,186.4,437568,711836
3400.0,186.3,437611,711811
3450.0,191.3,437654,711785
3500.0,193.3,437697,711760
3550.0,189.2,437740,711735
3600.0,185.8,437783,711709
3650.0,182.2,437826,711684
3700.0,179.1,437869,711659
3750.0,176.4,437912,711633
3800.0,180.2,437955,711608
3850.0,176.1,437998,711582
3900.0,175.2,438042,711557
3950.0,174.3,438085,711532
4000.0,171.1,438128,711506
4050.0,172.3,438171,711481
4100.0,172.8,438214,711456
4150.0,178.9,438264,711452
4200.0,178.2,438314,711448
4250.0,182.2,438364,711443
4300.0,185.0,438413,711439
4350.0,201.4,438463,711435
4400.0,209.0,438513,711431
4450.0,209.8,438563,711427
4500.0,208.8,438613,711423
4550.0,212.4,438662,711418
4600.0,210.7,438712,711414
4650.0,207.7,438762,711410
4700.0,206.7,438812,711406
4750.0,204.3,438862,711402
4800.0,203.9,438912,711398
4850.0,204.5,438961,711394
4900.0,204.5,439011,711389
4950.0,203.9,439061,711385
5000.0,201.6,439111,711381
5050.0,195.0,439161,711377
5100.0,197.7,439211,711373
5150.0,209.5,439260,711369
5200.0,212.3,439310,711365
5250.0,209.5,439360,711360
5300.0,207.3,439410,711356
5350.0,207.3,439460,711352
5400.0,207.2,439510,711348
5450.0,208.3,439559,711344
5500.0,210.9,439609,711340
5550.0,214.7,439659,711335
5600.0,216.4,439709,711331
5650.0,217.7,439759,711327
5700.0,217.0,439808,711323
5750.0,218.7,439858,711319
5800.0,218.3,439908,711315
5850.0,215.5,439958,711311
5900.0,208.7,440008,711306
5950.0,201.8,440058,711302
6000.0,201.1,440107,711298
6050.0,204.8,440157,711294
6100.0,205.2,440207,711290
6150.0,200.0,440257,711286
6200.0,204.6,440307,711281
6250.0,206.6,440357,711277
6300.0,209.6,440406,711273
6350.0,212.8,440456,711269
6400.0,217.6,440506,711265
6450.0,221.8,440556,711261
6500.0,224.9,440606,711257
6550.0,221.2,440656,711252
6600.0,219.0,440705,711248
6650.0,213.4,440755,711244
6700.0,209.1,440805,711240
6750.0,201.7,440855,711236
6800.0,200.2,440905,711232
6850.0,198.4,440955,711227
6900.0,198.7,441004,711223
6950.0,185.9,441054,711219
7000.0,168.3,441104,711215
7050.0,161.4,441154,711211
7100.0,160.2,441204,711207
7150.0,159.9,441253,711203
7200.0,160.2,441303,711198
7250.0,160.6,441353,711194
7300.0,163.0,441403,711190
7350.0,167.9,441453,711186
7400.0,173.7,441503,711182
7450.0,179.0,441552,711178
7500.0,189.2,441602,711174
7550.0,200.9,441652,711169
7600.0,208.6,441702,711165
7650.0,217.6,441752,711161
7700.0,217.3,441802,711157
7750.0,221.1,441840,711127
7800.0,223.7,441876,711093
7850.0,227.8,441912,711058
7900.0,221.8,441948,711023
7950.0,219.3,441984,710989
8000.0,212.1,442020,710954
8050.0,202.6,442056,710919
8100.0,197.4,442092,710884
8150.0,189.5,442128,710850
8200.0,186.4,442164,710815
8250.0,178.9,442200,710780
8300.0,163.1,442236,710746
8350.0,161.6,442272,710711
8400.0,168.0,442308,710676
8450.0,166.5,442344,710642
8500.0,162.6,442380,710607
8550.0,167.3,442416,710572
8600.0,176.0,442452,710537
8650.0,182.7,442488,710503
8700.0,181.2,442524,710468
8750.0,172.7,442560,710433
8800.0,170.0,442596,710399
8850.0,170.0,442632,710364
8900.0,164.2,442668,710329
8950.0,163.0,442704,710294
9000.0,168.7,442740,710260
9050.0,174.5,442776,710225
9100.0,171.6,442812,710190
9150.0,168.8,442848,710156
9200.0,171.9,442863,710111
9250.0,188.3,442869,710061
9300.0,202.8,442874,710011
9350.0,212.5,442880,709962
9400.0,211.8,442886,709912
9450.0,203.3,442891,709862
9500.0,199.5,442897,709813
9550.0,196.9,442903,709763
9600.0,187.2,442908,709713
9650.0,178.6,442914,709664
9700.0,168.2,442920,709614
9750.0,171.9,442925,709564
9800.0,176.9,442931,709515
9850.0,177.3,442937,709465
9900.0,173.4,442943,709415
9950.0,183.1,442948,709366
10000.0,195.1,442954,709316
10050.0,207.1,442960,709266
10100.0,213.1,442965,709217
10150.0,213.1,442971,709167
10200.0,212.9,442977,709117
10250.0,215.7,442982,709068
10300.0,219.1,442988,709018
10350.0,224.1,442994,708968
10400.0,231.0,442999,708918
10450.0,227.9,443005,708869
10500.0,233.0,443009,708819
10550.0,231.8,443009,708769
10600.0,233.6,443009,708719
10650.0,243.2,443009,708669
10700.0,239.4,443009,708619
10750.0,228.7,443009,708569
10800.0,212.8,443009,708519
10850.0,199.3,443009,708469
10900.0,187.3,443009,708419
10950.0,178.7,443009,708369
11000.0,178.7,443009,708319
11050.0,179.4,443009,708269
11100.0,179.7,443009,708219
11150.0,183.1,443009,708169
11200.0,182.3,443009,708119
11250.0,183.4,443009,708069
11300.0,185.7,443009,708019
11350.0,188.2,443009,707969
11400.0,187.1,443009,707919
11450.0,189.3,443009,707869
11500.0,189.6,443009,707819
11550.0,189.8,443009,707769
11600.0,193.4,443009,707719
11650.0,203.3,443009,707669
11700.0,204.9,443009,707619
11750.0,207.9,443009,707569
11800.0,214.2,443009,707519
11850.0,221.7,443009,707469
11900.0,227.7,443009,707419
11950.0,233.8,443009,707369
12000.0,236.6,443009,707319
12050.0,244.1,443009,707269
12100.0,258.6,443009,707219
12150.0,271.2,443009,707169
12200.0,283.1,443009,707119
12250.0,282.2,443009,707069
12300.0,294.9,443009,707019
12350.0,306.6,443008,706969
12400.0,311.7,443007,706919
12450.0,305.5,443006,706869
12500.0,299.1,443005,706819
12550.0,279.8,443004,706769
12600.0,274.3,443003,706719
12650.0,274.9,443002,706669
12700.0,296.7,443001,706619
12750.0,299.5,443000,706569
12800.0,293.1,442999,706519
12850.0,282.2,442998,706469
12900.0,274.1,442997,706419
12950.0,278.2,442996,706369
13000.0,284.8,442995,706319
13050.0,283.2,442994,706269
13100.0,302.7,442993,706219
13150.0,304.6,442992,706169
13200.0,292.0,442991,706119
13250.0,292.9,442990,706069
13300.0,298.6,442989,706019
13350.0,287.6,442988,705969
13400.0,287.4,442987,705919
13450.0,284.3,442986,705869
13500.0,292.5,442985,705819
13550.0,294.3,442984,705769
13600.0,288.7,442983,705719
13650.0,285.0,442982,705669
13700.0,296.1,442981,705619
13750.0,306.6,442980,705569
13800.0,301.6,442979,705519
13850.0,286.7,442978,705469
13900.0,292.6,442977,705419
13950.0,295.9,442976,705369
14000.0,285.4,442975,705319
14050.0,279.6,442974,705269
14100.0,289.2,442973,705219
14150.0,290.1,442972,705169
14200.0,302.3,442972,705119
14250.0,303.3,442972,705069
14300.0,286.0,442972,705019
14350.0,284.8,442972,704969
14400.0,278.7,442972,704919
14450.0,277.6,442972,704869
14500.0,283.6,442972,704819
14550.0,275.1,442972,704769
14600.0,271.7,442972,704719
14650.0,273.0,442972,704669
14700.0,266.8,442972,704619
14750.0,272.0,442972,704569
14800.0,258.7,442972,704519
14850.0,256.2,442972,704469
14900.0,254.9,442972,704419
14950.0,253.4,442972,704369
15000.0,245.0,442972,704319
15050.0,239.7,442972,704269
15100.0,240.3,442972,704219
15150.0,240.3,442972,704169
15200.0,240.5,442972,704119
15250.0,243.5,442972,704069
15300.0,245.1,442972,704019
15350.0,245.5,442972,703969
15400.0,243.2,442972,703919
15450.0,243.2,442972,703869
15500.0,242.9,442972,703819
15550.0,240.3,442972,703769
15600.0,238.0,442972,703719
15650.0,236.5,442972,703669
15700.0,236.0,442972,703619
15750.0,235.5,442972,703569
15800.0,235.7,442972,703519
15850.0,236.2,442972,703469
15900.0,235.6,442967,703420
15950.0,235.8,442955,703371
16000.0,235.2,442944,703323
16050.0,234.0,442932,703274
16100.0,232.4,442920,703226
16150.0,232.1,442908,703177
16200.0,231.6,442897,703128
16250.0,230.4,442885,703080
16300.0,232.2,442873,703031
16350.0,232.2,442861,702983
16400.0,232.0,442850,702934
16450.0,231.5,442838,702885
16500.0,229.3,442826,702837
16550.0,223.4,442815,702788
16600.0,224.5,442803,702739
16650.0,220.9,442791,702691
16700.0,220.5,442779,702642
16750.0,221.2,442768,702594
16800.0,220.6,442756,702545
16850.0,220.3,442744,702496
16900.0,221.4,442732,702448
16950.0,221.1,442721,702399
17000.0,219.3,442709,702351
17050.0,215.9,442703,702301
17100.0,215.9,442696,702251
17150.0,216.0,442690,702202
17200.0,216.1,442683,702152
17250.0,216.7,442677,702103
17300.0,215.6,442671,702053
17350.0,214.4,442664,702004
17400.0,210.2,442658,701954
17450.0,207.7,442651,701904
17500.0,208.7,442645,701855
17550.0,211.0,442638,701805
17600.0,211.4,442632,701756
17650.0,211.5,442626,701706
17700.0,212.6,442619,701656
17750.0,217.1,442613,701607
17800.0,220.3,442606,701557
17850.0,223.6,442600,701508
17900.0,225.4,442593,701458
17950.0,223.0,442587,701409
18000.0,219.2,442581,701359
18050.0,216.2,442574,701309
