Odległość (m),Wysokość (m),x,y
1000.0,6.6,501608,687286
1025.0,6.4,501599,687309
1050.0,6.5,501589,687333
1075.0,6.8,501580,687356
1100.0,6.5,501571,687379
1125.0,6.9,501562,687402
1150.0,6.7,501553,687426
1175.0,6.5,501544,687449
1200.0,6.6,501535,687473
1225.0,6.7,501527,687496
1250.0,7.1,501518,687519
1275.0,7.0,501509,687543
1300.0,6.2,501500,687566
1325.0,6.0,501492,687590
1350.0,6.1,501483,687613
1375.0,6.1,501474,687636
1400.0,6.3,501465,687660
1425.0,6.4,501456,687683
1450.0,6.3,501448,687707
1475.0,6.5,501439,687730
1500.0,6.5,501430,687754
1525.0,5.8,501421,687777
1550.0,5.5,501413,687800
1575.0,5.6,501404,687824
1600.0,5.5,501396,687848
1625.0,5.7,501388,687871
1650.0,6.0,501380,687895
1675.0,6.2,501372,687919
1700.0,6.2,501364,687942
1725.0,6.7,501357,687966
1750.0,6.7,501349,687990
1775.0,6.9,501341,688014
1800.0,7.0,501333,688037
1825.0,7.0,501325,688061
1850.0,7.1,501317,688085
1875.0,7.0,501309,688108
1900.0,6.7,501301,688132
1925.0,6.4,501293,688156
1950.0,6.5,501285,688180
1975.0,6.2,501278,688203
2000.0,6.0,501270,688227
2025.0,6.1,501261,688251
2050.0,6.1,501252,688274
2075.0,6.3,501243,688297
2100.0,6.2,501235,688321
2125.0,6.7,501226,688344
2150.0,6.7,501217,688367
2175.0,6.3,501208,688391
2200.0,6.2,501199,688414
2225.0,6.1,501190,688437
2250.0,6.6,501181,688461
2275.0,6.8,501172,688484
2300.0,6.1,501163,688508
2325.0,6.9,501154,688531
2350.0,6.8,501146,688554
2375.0,6.1,501137,688578
2400.0,6.1,501128,688601
2425.0,6.0,501119,688624
2450.0,6.0,501110,688648
2475.0,6.1,501101,688671
2500.0,6.3,501092,688694
2525.0,6.0,501083,688718
2550.0,6.0,501074,688741
2575.0,6.1,501065,688765
2600.0,6.1,501057,688788
2625.0,6.2,501048,688811
2650.0,6.2,501038,688834
2675.0,6.6,501026,688856
2700.0,6.6,501014,688878
2725.0,6.5,501002,688900
2750.0,6.4,500991,688922
2775.0,6.7,500979,688944
2800.0,6.9,500967,688966
2825.0,6.5,500955,688988
2850.0,6.3,500943,689010
2875.0,6.5,500931,689032
2900.0,6.4,500919,689054
2925.0,6.2,500907,689076
2950.0,6.1,500895,689098
2975.0,6.1,500883,689120
3000.0,6.0,500871,689142
3025.0,6.1,500860,689164
3050.0,6.1,500848,689186
3075.0,6.3,500836,689208
3100.0,6.3,500824,689230
3125.0,5.8,500812,689252
3150.0,5.7,500800,689274
3175.0,5.6,500788,689296
3200.0,5.5,500776,689318
3225.0,5.7,500764,689340
3250.0,5.7,500752,689362
3275.0,5.5,500740,689384
3300.0,5.6,500729,689406
3325.0,5.8,500717,689428
3350.0,5.8,500705,689450
3375.0,5.8,500693,689472
3400.0,5.7,500681,689494
3425.0,5.7,500671,689516
3450.0,5.7,500661,689540
3475.0,5.4,500652,689563
3500.0,5.6,500643,689586
3525.0,5.3,500634,689610
3550.0,5.2,500625,689633
3575.0,5.0,500616,689656
3600.0,5.0,500607,689680
3625.0,5.3,500598,689703
3650.0,5.5,500589,689726
3675.0,5.3,500580,689749
3700.0,5.8,500571,689773
3725.0,5.3,500562,689796
3750.0,5.2,500553,689819
3775.0,6.0,500544,689843
3800.0,6.2,500535,689866
3825.0,6.3,500526,689889
3850.0,6.4,500516,689913
3875.0,6.4,500507,689936
3900.0,6.3,500498,689959
